1,10,20,30,50,100
1,0.257396449704,0.363060016906,0.425190194421,0.456466610313,0.491546914624,0.523668639053
5,0.316568047337,0.577345731192,0.62045646661,0.657227387997,0.671174978867,0.66314454776
10,0.322062552832,0.643279797126,0.685967878276,0.692730346577,0.714285714286,0.71639898563
20,0.322485207101,0.691039729501,0.725697379544,0.740912933221,0.744294167371,0.73753169907
40,0.367286559594,0.737954353339,0.759087066779,0.760355029586,0.773879966188,0.763736263736
60,0.344885883347,0.749788672866,0.776838546069,0.787827557058,0.774725274725,0.772189349112
100,0.379120879121,0.767540152156,0.802197802198,0.774302620456,0.796703296703,0.798816568047
150,0.380388841927,0.796280642434,0.798816568047,0.805579036348,0.798393913779,0.790363482671
200,0.403212172443,0.80135249366,0.808960270499,0.812341504649,0.812341504649,0.801775147929
400,0.4078613694,0.832206255283,0.838968723584,0.838123415046,0.837700760778,0.838546069315
600,0.442096365173,0.844885883347,0.848267117498,0.852916314455,0.849535080304,0.857565511412
800,0.434065934066,0.865595942519,0.860946745562,0.876162299239,0.863060016906,0.867709213863
1200,0.475908706678,0.87235841082,0.877007607777,0.875316990702
2000,0.431952662722,0.877430262046,0.880388841927,0.885038038884
